"SITE_CODE","EVENT_DATETIME","alkalinity(total)","arsenic(total)","calcium(total)","chloride(total)","chlorophyll-a-concentration_chlorophyte_green-algae","chlorophyll-a-concentration_cryptophyta_cryptophytes","chlorophyll-a-concentration_cyanobacteria_bluegreen","chlorophyll-a-concentration_dinophyta_diatoms","chlorophyll-a(total)","dissolved_organic_carbon","dissolved_oxygen","hardness(total)","iron(total)","kjeldahl_nitrogen(total)","manganese(total)","microcystin","nitrate-nitrite(total)","ph","ph_for_color_analysis","phosphorus(dissolved)","phosphorus(total)","secchi_disk_depth","specific_conductance","sulfate(total)","temperature","total_organic_carbon","true_color(total)","dissolved_oxygen_wqs","ph_high_wqs","ph_low_wqs","siteID","xcoord","ycoord","Eval_Status","PROB_CAT","nitrogen(total)","phos_trophic","chla_trophic","phosphorus(total)_nla","nitrogen(total)_nla","chlorophyll-a(total)_nla","dissolved_oxygen_nla","nutrient_limitation","secchi_trophic","zebra","conductance","color","ph_cat","leech","chloride","alkalinity","statusTNT","WgtAdj"
"1201ECA0703A_DH",2021-06-29,40.9,0,13.6,7.4,0.7,1.4,0.5,1.7,2.03,6,6.8,44.8,170,0.31,13.3,"Non-detect",0.0357,7.6,8,0.0053,0.0096,2.2,109.3,2.9,22.673,5.7,45,"yes","yes","yes","LAK20_NY-10104",-74.746368,43.033023,"Target_Sampled",">50",0.3457,"Oligotrophic","Mesotrophic","Good","Good","Good","Good","P-limited","Mesotrophic","May be susceptible","Soft","High","Slightly alk","Brown","Low","Soft","Target",15.1515151515152
"1201KLO0708_DH",2021-07-20,0,0.34,0.642,0,3.5,0,0.2,2,3.08,3.7,5.8,0,327,0.25,26.7,"Non-detect",0,6,6.05,0,0.0071,2.2,8.4,0,21.77778,4,19,"yes","yes","no","LAK20_NY-10088",-74.783455,43.233788,"Target_Sampled","(20,50]",0.25,"Oligotrophic","Mesotrophic","Good","Good","Good","Good","P-limited","Mesotrophic","Not susceptible","Soft","Weak","Acidic","Blue","Low","Soft","Target",30.8
"1201SPE0760_DH",2020-08-11,0,0,0.71,0,2,0,0,0,0.684,3.7,6.4,0,76.7,0.21,12.8,"Non-detect",0,8.2,5.22,0,0.0051,5.7,7.8,2.2,24.72222,3.7,10,"yes","yes","yes","LAK20_NY-10040",-74.579702,43.239702,"Target_Sampled",">50",0.21,"Oligotrophic","Oligotrophic","Good","Good","Good","Good","P-limited","Oligotrophic","Not susceptible","Soft","Uncolored","Slightly alk","Blue","Low","Soft","Target",15.1515151515152
"1202ENG0589_DH",2020-07-21,66,1.5,24,7.3,3,0,11,3,9.45,NA,5.5,69.5,359,NA,254,"Non-detect",0.0051,7.8,7.37,0.0089,0.0383,1.2,169.5,3,25.177,4,28,"yes","yes","yes","LAK20_NY-10052",-74.652272,42.756978,"Target_Sampled","(10,20]",NA,"Eutrophic","Eutrophic","Poor",NA,"Poor","Good",NA,"Eutrophic","Highly susceptible","Average","Weak","Slightly alk","Murky","Low","Moderately hard","Target",55.7222222222222
"1202ONT0655C_DH",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Non-detect",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"LAK20_NY-10100",-74.150837,42.216566,"Target_NoOwnerAccess","(4,10]",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Target",166
"1203DEE0911_DH",2021-06-30,0,0,0.834,0,1,0,1.4,0.5,2.53,6.3,7.6,0,124,0.42,16.2,"Non-detect",0,7.5,7.21,0,0.0067,2.3,10.5,0,23.94444,6.4,35,"yes","yes","yes","LAK20_NY-10076",-74.761941,43.554658,"Target_Sampled","(10,20]",0.42,"Oligotrophic","Mesotrophic","Good","Good","Good","Good","P-limited","Mesotrophic","Not susceptible","Soft","High","~Neutral","Brown","Low","Soft","Target",55.7222222222222
"1203GLA0859_DH",2020-07-28,0,0,1.03,0,1,0,1,0,0.783,2.9,8.1,0,68.8,0.29,16,"Non-detect",0,6.9,7.38,0,0,5.2,13.1,0,25.44444,3.1,13,"yes","yes","yes","LAK20_NY-10092",-74.632051,43.413875,"Target_Sampled","(20,50]",0.29,"Oligotrophic","Oligotrophic","Good","Good","Good","Good","P-limited","Oligotrophic","Not susceptible","Soft","Weak","~Neutral","Blue","Low","Soft","Target",30.8
"1203MET0821_DH",2020-07-07,0,0,0.755,0,16,0,1,0,NA,NA,8.3,0,166,NA,13.8,"Non-detect",0.0055,6.5,6.41,0,0.0086,2.55,8.6,0,21.94444,5.6,42,"yes","yes","yes","LAK20_NY-10024",-74.719839,43.299499,"Target_Sampled","(4,10]",NA,"Oligotrophic",NA,"Good",NA,NA,"Good",NA,"Mesotrophic","Not susceptible","Soft","High","Acidic","Brown","Low","Soft","Target",166
"1203T L0862_DH",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Non-detect",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"LAK20_NY-10028",-74.582061,43.45535,"Target_PhysicalAccess","(10,20]",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Target",55.7222222222222
"1203UWB0798E_DH",2021-06-29,63.2,0.34,18,0,1,0,0.5,0,2,3.9,NA,63.3,62,0.18,6.3,"Non-detect",0.0118,NA,8.32,0.0096,0.0127,2.3,121.7,0,25,3.6,25,NA,NA,NA,"LAK20_NY-10084",-75.150015,43.266852,"Target_Sampled","(4,10]",0.1918,"Mesotrophic","Oligotrophic","Good","Good","Good",NA,"Co-limited","Mesotrophic","May be susceptible","Soft","Weak",NA,"Brown","Low","Moderately hard","Target",166
"1301CAN0168A_DH",2021-09-29,19.7,0,6.82,36.2,1.6,0,0.6,2.1,4.12,4.7,7.4,24.2,256,0.38,58.9,"Non-detect",0.0071,8,7.96,0,0.0088,3.2,162.5,3.9,19.94444,NA,22,"yes","yes","yes","LAK20_NY-10109",-73.834406,41.457672,"Target_Sampled","(20,50]",0.3871,"Oligotrophic","Mesotrophic","Good","Good","Good","Good","P-limited","Mesotrophic","Not susceptible","Average","Weak","Slightly alk","Brown","Medium","Soft","Target",30.8
"1301CRO1033_DH",2021-07-27,NA,NA,NA,NA,5.2,0.1,0.7,0.7,NA,NA,5,NA,NA,NA,NA,"Non-detect",NA,7.9,NA,NA,NA,3.3,205.1,NA,27.044,NA,NA,"yes","yes","yes","LAK20_NY-10025",-73.96204,40.785962,"Target_Sampled","(20,50]",NA,NA,NA,NA,NA,NA,"Fair",NA,"Mesotrophic",NA,"Average",NA,"Slightly alk",NA,NA,NA,"Target",30.8
"1301PET0161G_DH",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Non-detect",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"LAK20_NY-10066",-73.918371,41.259308,"Target_NoOwnerAccess","(1,4]",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Target",63.0344827586207
"1301WIC0183A_DH",2020-08-25,6,0,3.61,16.8,2,0,1,0,1.12,NA,6.7,12.6,103,0.4,8.2,"Non-detect",0,7.2,7.1,0,0.0072,3.6,86.6,5,26.069,4.1,19,"yes","yes","yes","LAK20_NY-10045",-73.820974,41.424486,"Target_Sampled","(20,50]",0.4,"Oligotrophic","Oligotrophic","Good","Good","Good","Good","P-limited","Mesotrophic","Not susceptible","Soft","Weak","~Neutral","Blue","Low","Soft","Target",30.8
"1302CAR0062A_DH",2021-09-29,NA,NA,NA,NA,4.3,3.5,4.9,4.6,NA,NA,7.1,NA,NA,NA,NA,"Microcystin Detected",NA,7.6,NA,NA,NA,0.8,358.7,NA,19.44444,NA,NA,"yes","yes","yes","LAK20_NY-10093",-73.66499,41.458597,"Target_Sampled",">50",NA,NA,NA,NA,NA,NA,"Good",NA,"Eutrophic",NA,"Hard",NA,"Slightly alk",NA,NA,NA,"Target",15.1515151515152
"1302HEM0103H_DH",2020-08-04,8.8,0,3.32,0,18,1,1,1,2.63,4.2,NA,12.6,437,0.44,24.9,"Non-detect",0.0035,NA,7.14,0.0054,0.0175,0.5,34.9,3.9,27.468,4.6,45,NA,NA,NA,"LAK20_NY-10029",-73.560958,41.310093,"Target_Sampled","(1,4]",0.4435,"Mesotrophic","Mesotrophic","Fair","Fair","Good",NA,"P-limited","Eutrophic","Not susceptible","Soft","High",NA,"Brown","Low","Soft","Target",63.0344827586207
"1303ORA0239D_DH",2020-08-05,76.4,1.4,30.5,221,9,1,5,5,7.77,3.6,2.3,107,557,0.52,954,"Non-detect",0.0024,7.3,7.73,0.0062,0.0469,NA,830.2,8.8,26.286,3.9,55,"no","yes","yes","LAK20_NY-10061",-74.194213,41.346558,"Target_Sampled","(20,50]",0.5224,"Eutrophic","Mesotrophic","Poor","Fair","Fair","Poor","Co-limited",NA,"Highly susceptible","Hard","High","~Neutral","Murky","Medium","Moderately hard","Target",30.8
"1305SIL0378_DH",2020-08-03,74.4,0.52,27.5,21.3,7,0,1,1,2.32,NA,4,88.7,36.8,0.37,97.3,"Non-detect",0,7.4,7.95,0,0.017,2.2,238.6,5.6,28.133,4.4,28,"no","yes","yes","LAK20_NY-10057",-73.803211,41.915654,"Target_Sampled","(20,50]",0.37,"Mesotrophic","Mesotrophic","Fair","Good","Good","Fair","P-limited","Mesotrophic","Highly susceptible","Average","Weak","~Neutral","Brown","Low","Moderately hard","Target",30.8
"1306LYO0789A_DH",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Non-detect",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"LAK20_NY-10005",-74.360552,41.780463,"Target_NoOwnerAccess","(10,20]",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Target",55.7222222222222
"1310BLA0N80B_DH",2020-08-03,2.4,0.37,2.69,13.2,4,0,0,2,2.5,NA,4.4,8.7,268,0.32,37.9,"Non-detect",0,5.9,6.87,0,0.0104,1.7,63.3,3.1,23.235,6.5,60,"no","yes","no","LAK20_NY-10032",-73.409629,42.617744,"Target_Sampled","(10,20]",0.32,"Mesotrophic","Mesotrophic","Good","Good","Good","Fair","P-limited","Eutrophic","Not susceptible","Soft","High","Acidic","Brown","Low","Soft","Target",55.7222222222222
"1310UWB6691_DH",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Non-detect",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"LAK20_NY-10048",-73.741871,42.33488,"Target_NoOwnerAccess","(1,4]",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Target",63.0344827586207
"1311DUA0290_DH",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Non-detect",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"LAK20_NY-10008",-74.184537,42.797495,"Target_NoOwnerAccess","(10,20]",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Target",55.7222222222222
"1401BLA0103_DH",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Non-detect",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"LAK20_NY-10085",-74.860429,41.657246,"Target_NoOwnerAccess",">50",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Target",15.1515151515152
"1401RIO0079A_DH",2021-09-27,12.1,0.48,4.98,18.2,6.9,0,11.4,4.1,27.7,7.6,5.4,16.2,170,0.52,59.8,"Microcystin Detected",0.0558,7.1,7.71,0,0.021,1.8,94.3,3,19.55556,NA,43,"yes","yes","yes","LAK20_NY-10097",-74.759059,41.499388,"Target_Sampled",">50",0.5758,"Eutrophic","Eutrophic","Fair","Fair","Poor","Good","P-limited","Eutrophic","Not susceptible","Soft","High","~Neutral","Brown","Low","Soft","Target",15.1515151515152
"1401SWA0211_DH",2020-08-04,8,0.42,3.43,7.2,2,0,2,2,9.42,NA,6.2,12.8,574,0.62,125,"Non-detect",0.0033,6.8,7.1,0.016,0.0421,0.7,51.7,2.7,24.873,6.3,100,"yes","yes","yes","LAK20_NY-10021",-74.983015,41.593453,"Target_Sampled","(20,50]",0.6233,"Eutrophic","Eutrophic","Poor","Fair","Poor","Good","Co-limited","Eutrophic","Not susceptible","Soft","High","~Neutral","Murky","Low","Soft","Target",30.8
"1401UWB5188_DH",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Non-detect",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"LAK20_NY-10049",-74.769898,41.57332,"Target_NoOwnerAccess","(1,4]",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Target",63.0344827586207
"1403UWB0294A_DH",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Non-detect",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"LAK20_NY-10037",-74.879489,41.949667,"NonTarget","(1,4]",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"NonTarget",63.0344827586207
"1404RUS0410_DH",2021-09-28,10.6,0.42,3.63,0,1.1,0,0,4.6,4.04,1.7,9.8,12.6,306,0.21,35.9,"Non-detect",0.0061,8.2,7.69,0.0056,0.0158,1.4,33,3.3,15.11111,NA,13,"yes","yes","yes","LAK20_NY-10101",-75.095605,42.12223,"Target_Sampled","(1,4]",0.2161,"Mesotrophic","Mesotrophic","Good","Good","Good","Good","Co-limited","Eutrophic","Not susceptible","Soft","Weak","Slightly alk","Blue","Low","Soft","Target",63.0344827586207
"1501GRE1026_DH",2021-09-28,35.6,0.78,11.8,57.6,5.3,2,11.1,15.1,17,3.5,5,43,0,0.54,55.2,"Microcystin Detected",0,7.4,8.23,NA,0.0165,1.9,261.2,5.4,21.44444,NA,7,"yes","yes","yes","LAK20_NY-10073",-74.322037,41.185271,"Target_Sampled",">50",0.54,"Mesotrophic","Eutrophic","Fair","Fair","Poor","Fair","P-limited","Eutrophic","May be susceptible","Hard","Uncolored","~Neutral","Blue","Medium","Soft","Target",15.1515151515152
"1601UWBXXX1_DH",2020-08-03,141,1.2,29.4,30.3,4,0,0,1,1.83,NA,NA,161,110,0.37,23.2,"Non-detect",0,NA,8.22,0,0.0098,3,401.8,8.5,27.85,3.2,18,NA,NA,NA,"LAK20_NY-10013",-73.54446,41.79477,"Target_Sampled","(1,4]",0.37,"Oligotrophic","Oligotrophic","Good","Good","Good",NA,"P-limited","Mesotrophic","Highly susceptible","Hard","Weak",NA,"Blue","Low","Hard","Target",63.0344827586207
"1701UWI0911_DH",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Non-detect",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"LAK20_NY-10041",-73.202632,40.728622,"NonTarget","(4,10]",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"NonTarget",166
"1702NEW0292_DH",2021-06-01,31,0,12.2,57.2,7.9,0.6,1.9,0.9,6.97,4.2,8.4,45.2,557,0.69,545,"Microcystin Detected",0.885,7,7.35,0.0165,0.0448,1.3,267.8,11,14.94444,4.2,30,"yes","yes","yes","LAK20_NY-10105",-73.22362,40.836961,"Target_Sampled","(20,50]",1.575,"Eutrophic","Mesotrophic","Poor","Poor","Fair","Good","P-limited","Eutrophic","May be susceptible","Hard","Weak","~Neutral","Murky","Medium","Soft","Target",30.8
"1702UWB0159_DH",2021-06-01,21,0.37,8.12,66.5,3.7,0.2,0.1,1.9,3.24,3.5,NA,34.3,398,0.51,23.8,"Non-detect",0.823,NA,7.12,0.0094,0.0251,1.9,279.8,10.2,15,3.4,27,NA,NA,NA,"LAK20_NY-10089",-73.459386,40.850276,"Target_Sampled","(1,4]",1.333,"Eutrophic","Mesotrophic","Fair","Poor","Good",NA,"P-limited","Eutrophic","Not susceptible","Hard","Weak",NA,"Brown","Medium","Soft","Target",63.0344827586207
"NONE_DH",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Non-detect",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"LAK20_NY-10038",-75.59655,44.088851,"NonTarget","(4,10]",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"NonTarget",166
"NONE_DH",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Non-detect",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"LAK20_NY-10047",-76.053811,42.744255,"NonTarget","(1,4]",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"NonTarget",63.0344827586207
"NONE_DH",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Non-detect",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"LAK20_NY-10050",-74.766312,43.879328,"Target_PhysicalAccess",">50",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Target",15.1515151515152
"NONE_DH",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Non-detect",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"LAK20_NY-10043",-78.371048,42.674868,"NonTarget","(1,4]",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"NonTarget",63.0344827586207
"NONE_DH",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Non-detect",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"LAK20_NY-10064",-79.313692,42.328745,"NonTarget","(1,4]",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"NonTarget",63.0344827586207
"NONE_DH",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Non-detect",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"LAK20_NY-10111",-75.593985,43.608598,"NonTarget","(1,4]",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"NonTarget",63.0344827586207
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Non-detect",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"LAK20_NY-10053",-75.931331,42.30734,"NonTarget","(20,50]",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"NonTarget",30.8
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Non-detect",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"LAK20_NY-10002",-73.966415,41.217607,"NonTarget","(10,20]",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"NonTarget",55.7222222222222
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Non-detect",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"LAK20_NY-10003",-73.659532,43.977775,"NonTarget","(4,10]",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"NonTarget",166
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Non-detect",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"LAK20_NY-10009",-71.922242,41.061397,"NonTarget",">50",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"NonTarget",15.1515151515152
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Non-detect",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"LAK20_NY-10070",-74.862536,44.095797,"Target_PhysicalAccess","(4,10]",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Target",166
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Non-detect",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"LAK20_NY-10019",-73.534678,44.360538,"NonTarget","(1,4]",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"NonTarget",63.0344827586207
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Non-detect",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"LAK20_NY-10023",-76.246096,43.080447,"NonTarget","(20,50]",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"NonTarget",30.8
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Non-detect",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"LAK20_NY-10096",-74.004983,42.452595,"Target_NoOwnerAccess","(1,4]",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Target",63.0344827586207
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Non-detect",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"LAK20_NY-10094",-74.47572,44.053348,"Target_NoOwnerAccess",">50",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Target",15.1515151515152
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Non-detect",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"LAK20_NY-10072",-74.921497,42.547273,"Target_NoOwnerAccess","(1,4]",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Target",63.0344827586207
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Non-detect",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"LAK20_NY-10112",-74.000761,42.175002,"NonTarget","(10,20]",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"NonTarget",55.7222222222222
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Non-detect",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"LAK20_NY-10078",-74.232989,43.676046,"Target_NoOwnerAccess",">50",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Target",15.1515151515152
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Non-detect",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"LAK20_NY-10069",-74.257818,41.888825,"Target_NoOwnerAccess","(1,4]",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Target",63.0344827586207
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Non-detect",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"LAK20_NY-10071",-74.425245,44.130407,"Target_NoOwnerAccess","(4,10]",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Target",166
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Non-detect",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"LAK20_NY-10107",-75.712403,44.332809,"NonTarget","(1,4]",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"NonTarget",63.0344827586207
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Non-detect",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"LAK20_NY-10077",-73.569808,41.235584,"Target_NoOwnerAccess","(1,4]",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Target",63.0344827586207
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Non-detect",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"LAK20_NY-10090",-74.49827,44.584284,"Target_NoOwnerAccess","(1,4]",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Target",63.0344827586207
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Non-detect",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"LAK20_NY-10113",-74.688697,41.692317,"Target_NoOwnerAccess","(10,20]",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Target",55.7222222222222
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Non-detect",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"LAK20_NY-10080",-73.430029,43.268847,"Target_NoOwnerAccess","(1,4]",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Target",63.0344827586207
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Non-detect",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"LAK20_NY-10108",-74.049997,43.120504,"NonTarget","(10,20]",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"NonTarget",55.7222222222222
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Non-detect",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"LAK20_NY-10110",-73.863773,43.914808,"Target_PhysicalAccess","(4,10]",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Target",166
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Non-detect",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"LAK20_NY-10103",-77.059478,43.153193,"NonTarget","(10,20]",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"NonTarget",55.7222222222222
