"","sys_sample_code","chemical_name","sample_date","cas_rn","fraction","result_value","result_unit","method_detection_limit","detection_limit_unit","quantitation_limit","lab_qualifiers","validator_qualifiers","interpreted_qualifiers","qaqc_date","no_chemistry","why_no_chemistry","LAKE","purpose"
"1196","2009blu0s51","HARDNESS (AS CACO3)","2020-09-20","HARD","T",11.4,"mg/l",NA,"mg/l",6.62,NA,"A","","2020-12-09",NA,NA,"0903BLU0307",NA
"1197","2009blu0s51","Iron","2020-09-20","7439-89-6","T",NA,"ug/l",20,"ug/l",100,"U","U","Analyte was analyzed for but not detected","2020-12-09",NA,NA,"0903BLU0307",NA
"1198","2009blu0s51","Manganese","2020-09-20","7439-96-5","T",7.2,"ug/l",1.7,"ug/l",10,"J","J","estimated value due to lab error","2020-12-09",NA,NA,"0903BLU0307",NA
"1199","2009blu0s51","Nitrate+Nitrite as Nitrogen","2020-09-20","NO3NO2N","T",NA,"mg/l",0.0015,"mg/l",0.002,"U","U","Analyte was analyzed for but not detected","2020-12-09",NA,NA,"0903BLU0307",NA
"1200","2009blu0s51","Nitrogen, ammonia (As N)","2020-09-20","7664-41-7","T",NA,"mg/l",0.003,"mg/l",0.01,"U","U","Analyte was analyzed for but not detected","2020-12-09",NA,NA,"0903BLU0307",NA
"1201","2009blu0s51","NITROGEN, KJELDAHL, TOTAL","2020-09-20","KN","T",0.17,"mg/l",0.1,"mg/l",0.1,NA,"A","","2020-12-09",NA,NA,"0903BLU0307",NA
"1202","2009blu0s51","pH of Color Analysis","2020-09-20","PHCOLOR","T",6.82,"pH units",NA,"pH units",NA,NA,"A","","2020-12-09",NA,NA,"0903BLU0307",NA
"1203","2009blu0s51","PHOSPHORUS, DISSOLVED (AS P)","2020-09-20","7723-14-0","D",NA,"mg/l",0.0036,"mg/l",0.005,"U","U","Analyte was analyzed for but not detected","2020-12-09",NA,NA,"0903BLU0307",NA
"1204","2009blu0s51","PHOSPHORUS, TOTAL (AS P)","2020-09-20","7723-14-0","T",NA,"mg/l",0.0036,"mg/l",0.005,"U","R","Analyte was analyzed for but not detected ; Accuracy error","2020-12-09",NA,NA,"0903BLU0307",NA
"1205","2009blu0s51","SULFATE (AS SO4)","2020-09-20","14808-79-8","T",2.1,"mg/l",0.4,"mg/l",2,NA,"A","","2020-12-09",NA,NA,"0903BLU0307",NA
"1206","2009blu0s51","TOTAL ORGANIC CARBON","2020-09-20","TOC","T",3.1,"mg/l",0.5,"mg/l",1,NA,"A","","2020-12-09",NA,NA,"0903BLU0307",NA
"1207","2009blu0s52","ALKALINITY, TOTAL (AS CaCO3)","2020-09-20","ALK","T",6.8,"mg/l",1.8,"mg/l",2,NA,"A","","2020-12-09",NA,NA,"0903BLU0307",NA
"1208","2009blu0s52","Arsenic","2020-09-20","7440-38-2","T",NA,"ug/l",0.32,"ug/l",1,"U","U","Analyte was analyzed for but not detected","2020-12-09",NA,NA,"0903BLU0307",NA
"1209","2009blu0s52","Calcium","2020-09-20","7440-70-2","T",3620,"ug/l",110,"ug/l",1000,NA,"A","","2020-12-09",NA,NA,"0903BLU0307",NA
"1210","2009blu0s52","Carbon, Dissolved Organic (DOC)","2020-09-20","DOC","D",2.6,"mg/l",0.5,"mg/l",1,NA,"A","","2020-12-09",NA,NA,"0903BLU0307",NA
"1211","2009blu0s52","CHLORIDE (AS CL)","2020-09-20","16887-00-6","T",23.6,"mg/l",0.5,"mg/l",2,NA,"A","","2020-12-09",NA,NA,"0903BLU0307",NA
"1212","2009blu0s52","Color, True","2020-09-20","COLOR","T",20,"color unit",NA,"color unit",5,NA,"A","","2020-12-09",NA,NA,"0903BLU0307",NA
"1213","2009blu0s52","HARDNESS (AS CACO3)","2020-09-20","HARD","T",11,"mg/l",NA,"mg/l",6.62,NA,"A","","2020-12-09",NA,NA,"0903BLU0307",NA
"1214","2009blu0s52","Iron","2020-09-20","7439-89-6","T",37.5,"ug/l",20,"ug/l",100,"J","J","estimated value due to lab error","2020-12-09",NA,NA,"0903BLU0307",NA
"1215","2009blu0s52","Manganese","2020-09-20","7439-96-5","T",84.9,"ug/l",1.7,"ug/l",10,NA,"A","","2020-12-09",NA,NA,"0903BLU0307",NA
"1216","2009blu0s52","Nitrate+Nitrite as Nitrogen","2020-09-20","NO3NO2N","T",0.0602,"mg/l",0.0015,"mg/l",0.002,NA,"A","","2020-12-09",NA,NA,"0903BLU0307",NA
"1217","2009blu0s52","Nitrogen, ammonia (As N)","2020-09-20","7664-41-7","T",0.039,"mg/l",0.003,"mg/l",0.01,NA,"A","","2020-12-09",NA,NA,"0903BLU0307",NA
"1218","2009blu0s52","NITROGEN, KJELDAHL, TOTAL","2020-09-20","KN","T",0.12,"mg/l",0.1,"mg/l",0.1,NA,"A","","2020-12-09",NA,NA,"0903BLU0307",NA
"1219","2009blu0s52","pH of Color Analysis","2020-09-20","PHCOLOR","T",6.77,"pH units",NA,"pH units",NA,NA,"A","","2020-12-09",NA,NA,"0903BLU0307",NA
"1220","2009blu0s52","PHOSPHORUS, DISSOLVED (AS P)","2020-09-20","7723-14-0","D",NA,"mg/l",0.0036,"mg/l",0.005,"U","U","Analyte was analyzed for but not detected","2020-12-09",NA,NA,"0903BLU0307",NA
"1221","2009blu0s52","PHOSPHORUS, TOTAL (AS P)","2020-09-20","7723-14-0","T",0.0069,"mg/l",0.0036,"mg/l",0.005,NA,"A","","2020-12-09",NA,NA,"0903BLU0307",NA
"1222","2009blu0s52","SULFATE (AS SO4)","2020-09-20","14808-79-8","T",2.2,"mg/l",0.4,"mg/l",2,NA,"A","","2020-12-09",NA,NA,"0903BLU0307",NA
"1223","2009blu0s52","TOTAL ORGANIC CARBON","2020-09-20","TOC","T",2.7,"mg/l",0.5,"mg/l",1,NA,"A","","2020-12-09",NA,NA,"0903BLU0307",NA
"1224","2009bri0s41","ALKALINITY, TOTAL (AS CaCO3)","2020-09-01","ALK","T",6.8,"mg/l",1.8,"mg/l",2,NA,"A","","2020-12-09",NA,NA,"0903BRI0178","probability"
"1225","2009bri0s41","Arsenic","2020-09-01","7440-38-2","T",NA,"ug/l",0.32,"ug/l",1,"U","U","Analyte was analyzed for but not detected","2020-12-09",NA,NA,"0903BRI0178","probability"
"1226","2009bri0s41","Calcium","2020-09-01","7440-70-2","T",2780,"ug/l",110,"ug/l",1000,NA,"A","","2020-12-09",NA,NA,"0903BRI0178","probability"
"1227","2009bri0s41","Carbon, Dissolved Organic (DOC)","2020-09-01","DOC","D",6.8,"mg/l",0.5,"mg/l",1,NA,"R","Result should be less than the total","2020-12-09",NA,NA,"0903BRI0178","probability"
"1228","2009bri0s41","CHLORIDE (AS CL)","2020-09-01","16887-00-6","T",NA,"mg/l",0.5,"mg/l",2,"U","U","Analyte was analyzed for but not detected","2020-12-09",NA,NA,"0903BRI0178","probability"
"1229","2009bri0s41","Chlorophyll A","2020-09-01","479-61-8","T",9.02,"ug/l",NA,"ug/l",0.32,NA,"A","","2020-12-09",NA,NA,"0903BRI0178","probability"
"1230","2009bri0s41","Color, True","2020-09-01","COLOR","T",34,"color unit",NA,"color unit",5,NA,"A","","2020-12-09",NA,NA,"0903BRI0178","probability"
"1231","2009bri0s41","HARDNESS (AS CACO3)","2020-09-01","HARD","T",10.3,"mg/l",NA,"mg/l",6.62,NA,"A","","2020-12-09",NA,NA,"0903BRI0178","probability"
"1232","2009bri0s41","Iron","2020-09-01","7439-89-6","T",260,"ug/l",20,"ug/l",100,NA,"A","","2020-12-09",NA,NA,"0903BRI0178","probability"
"1233","2009bri0s41","Manganese","2020-09-01","7439-96-5","T",28.3,"ug/l",1.7,"ug/l",10,NA,"A","","2020-12-09",NA,NA,"0903BRI0178","probability"
"1234","2009bri0s41","Nitrate+Nitrite as Nitrogen","2020-09-01","NO3NO2N","T",0.0029,"mg/l",0.0015,"mg/l",0.002,NA,"A","","2020-12-09",NA,NA,"0903BRI0178","probability"
"1235","2009bri0s41","Nitrogen, ammonia (As N)","2020-09-01","7664-41-7","T",0.011,"mg/l",0.003,"mg/l",0.01,NA,"A","","2020-12-09",NA,NA,"0903BRI0178","probability"
"1236","2009bri0s41","NITROGEN, KJELDAHL, TOTAL","2020-09-01","KN","T",0.35,"mg/l",0.1,"mg/l",0.1,NA,"R","Equipment Blank error","2020-12-09",NA,NA,"0903BRI0178","probability"
"1237","2009bri0s41","pH of Color Analysis","2020-09-01","PHCOLOR","T",7.35,"pH units",NA,"pH units",NA,NA,"A","","2020-12-09",NA,NA,"0903BRI0178","probability"
"1238","2009bri0s41","PHOSPHORUS, DISSOLVED (AS P)","2020-09-01","7723-14-0","D",NA,"mg/l",0.0036,"mg/l",0.005,"U","U","Analyte was analyzed for but not detected","2020-12-09",NA,NA,"0903BRI0178","probability"
"1239","2009bri0s41","PHOSPHORUS, TOTAL (AS P)","2020-09-01","7723-14-0","T",0.0111,"mg/l",0.0036,"mg/l",0.005,NA,"A","","2020-12-09",NA,NA,"0903BRI0178","probability"
"1240","2009bri0s41","SULFATE (AS SO4)","2020-09-01","14808-79-8","T",3.7,"mg/l",0.4,"mg/l",2,NA,"A","","2020-12-09",NA,NA,"0903BRI0178","probability"
"1241","2009bri0s41","TOTAL ORGANIC CARBON","2020-09-01","TOC","T",6.2,"mg/l",0.5,"mg/l",1,NA,"A","","2020-12-09",NA,NA,"0903BRI0178","probability"
"1242","2009bri0s42","ALKALINITY, TOTAL (AS CaCO3)","2020-09-01","ALK","T",8.4,"mg/l",1.8,"mg/l",2,NA,"A","","2020-12-09",NA,NA,"0903BRI0178","probability"
"1243","2009bri0s42","Arsenic","2020-09-01","7440-38-2","T",0.4,"ug/l",0.32,"ug/l",1,"J","J","estimated value due to lab error","2020-12-09",NA,NA,"0903BRI0178","probability"
"1244","2009bri0s42","Calcium","2020-09-01","7440-70-2","T",2970,"ug/l",110,"ug/l",1000,NA,"A","","2020-12-09",NA,NA,"0903BRI0178","probability"
"1245","2009bri0s42","Carbon, Dissolved Organic (DOC)","2020-09-01","DOC","D",6.9,"mg/l",0.5,"mg/l",1,NA,"A","","2020-12-09",NA,NA,"0903BRI0178","probability"
"1246","2009bri0s42","CHLORIDE (AS CL)","2020-09-01","16887-00-6","T",NA,"mg/l",0.5,"mg/l",2,"U","U","Analyte was analyzed for but not detected","2020-12-09",NA,NA,"0903BRI0178","probability"
"1247","2009bri0s42","Color, True","2020-09-01","COLOR","T",46,"color unit",NA,"color unit",5,NA,"A","","2020-12-09",NA,NA,"0903BRI0178","probability"
"1248","2009bri0s42","HARDNESS (AS CACO3)","2020-09-01","HARD","T",11.1,"mg/l",NA,"mg/l",6.62,NA,"A","","2020-12-09",NA,NA,"0903BRI0178","probability"
"1249","2009bri0s42","Iron","2020-09-01","7439-89-6","T",601,"ug/l",20,"ug/l",100,NA,"A","","2020-12-09",NA,NA,"0903BRI0178","probability"
"1250","2009bri0s42","Manganese","2020-09-01","7439-96-5","T",66.6,"ug/l",1.7,"ug/l",10,NA,"A","","2020-12-09",NA,NA,"0903BRI0178","probability"
"1251","2009bri0s42","Nitrate+Nitrite as Nitrogen","2020-09-01","NO3NO2N","T",0.019,"mg/l",0.0015,"mg/l",0.002,NA,"A","","2020-12-09",NA,NA,"0903BRI0178","probability"
"1252","2009bri0s42","Nitrogen, ammonia (As N)","2020-09-01","7664-41-7","T",0.023,"mg/l",0.003,"mg/l",0.01,NA,"R","Equipment Blank error","2020-12-09",NA,NA,"0903BRI0178","probability"
"1253","2009bri0s42","NITROGEN, KJELDAHL, TOTAL","2020-09-01","KN","T",0.5,"mg/l",0.1,"mg/l",0.1,NA,"A","","2020-12-09",NA,NA,"0903BRI0178","probability"
"1254","2009bri0s42","pH of Color Analysis","2020-09-01","PHCOLOR","T",6.87,"pH units",NA,"pH units",NA,NA,"A","","2020-12-09",NA,NA,"0903BRI0178","probability"
"1255","2009bri0s42","PHOSPHORUS, DISSOLVED (AS P)","2020-09-01","7723-14-0","D",NA,"mg/l",0.0036,"mg/l",0.005,"U","U","Analyte was analyzed for but not detected","2020-12-09",NA,NA,"0903BRI0178","probability"
"1256","2009bri0s42","PHOSPHORUS, TOTAL (AS P)","2020-09-01","7723-14-0","T",0.0204,"mg/l",0.0036,"mg/l",0.005,NA,"A","","2020-12-09",NA,NA,"0903BRI0178","probability"
"1257","2009bri0s42","SULFATE (AS SO4)","2020-09-01","14808-79-8","T",5.5,"mg/l",0.4,"mg/l",2,NA,"A","","2020-12-09",NA,NA,"0903BRI0178","probability"
"1258","2009bri0s42","TOTAL ORGANIC CARBON","2020-09-01","TOC","T",7.3,"mg/l",0.5,"mg/l",1,NA,"A","","2020-12-09",NA,NA,"0903BRI0178","probability"
"1259","2009cry0s41","ALKALINITY, TOTAL (AS CaCO3)","2020-08-31","ALK","T",NA,"mg/l",1.8,"mg/l",2,"U","U","Analyte was analyzed for but not detected","2020-12-09",NA,NA,"0905CRY0289","probability"
"1260","2009cry0s41","Arsenic","2020-08-31","7440-38-2","T",0.83,"ug/l",0.32,"ug/l",1,"J","J","estimated value due to lab error","2020-12-09",NA,NA,"0905CRY0289","probability"
"1261","2009cry0s41","Calcium","2020-08-31","7440-70-2","T",414,"ug/l",110,"ug/l",1000,"J","J","estimated value due to lab error","2020-12-09",NA,NA,"0905CRY0289","probability"
"1262","2009cry0s41","Carbon, Dissolved Organic (DOC)","2020-08-31","DOC","D",8.4,"mg/l",0.5,"mg/l",1,NA,"A","","2020-12-09",NA,NA,"0905CRY0289","probability"
"1263","2009cry0s41","CHLORIDE (AS CL)","2020-08-31","16887-00-6","T",NA,"mg/l",0.5,"mg/l",2,"U","U","Analyte was analyzed for but not detected","2020-12-09",NA,NA,"0905CRY0289","probability"
"1264","2009cry0s41","Chlorophyll A","2020-08-31","479-61-8","T",5.42,"ug/l",NA,"ug/l",0.16,NA,"A","","2020-12-09",NA,NA,"0905CRY0289","probability"
"1265","2009cry0s41","Color, True","2020-08-31","COLOR","T",11,"color unit",NA,"color unit",5,NA,"R","Equipment Blank error","2020-12-09",NA,NA,"0905CRY0289","probability"
"1266","2009cry0s41","HARDNESS (AS CACO3)","2020-08-31","HARD","T",NA,"mg/l",NA,"mg/l",6.62,"U","U","Analyte was analyzed for but not detected","2020-12-09",NA,NA,"0905CRY0289","probability"
"1267","2009cry0s41","Iron","2020-08-31","7439-89-6","T",61.6,"ug/l",20,"ug/l",100,"J","J","estimated value due to lab error","2020-12-09",NA,NA,"0905CRY0289","probability"
"1268","2009cry0s41","Manganese","2020-08-31","7439-96-5","T",14.6,"ug/l",1.7,"ug/l",10,NA,"A","","2020-12-09",NA,NA,"0905CRY0289","probability"
"1269","2009cry0s41","Nitrate+Nitrite as Nitrogen","2020-08-31","NO3NO2N","T",NA,"mg/l",0.0015,"mg/l",0.002,"U","U","Analyte was analyzed for but not detected","2020-12-09",NA,NA,"0905CRY0289","probability"
"1270","2009cry0s41","Nitrogen, ammonia (As N)","2020-08-31","7664-41-7","T",NA,"mg/l",0.003,"mg/l",0.01,"U","U","Analyte was analyzed for but not detected","2020-12-09",NA,NA,"0905CRY0289","probability"
"1271","2009cry0s41","NITROGEN, KJELDAHL, TOTAL","2020-08-31","KN","T",0.29,"mg/l",0.1,"mg/l",0.1,NA,"A","","2020-12-09",NA,NA,"0905CRY0289","probability"
"1272","2009cry0s41","pH of Color Analysis","2020-08-31","PHCOLOR","T",7.99,"pH units",NA,"pH units",NA,NA,"A","","2020-12-09",NA,NA,"0905CRY0289","probability"
"1273","2009cry0s41","PHOSPHORUS, DISSOLVED (AS P)","2020-08-31","7723-14-0","D",NA,"mg/l",0.0036,"mg/l",0.005,"U","U","Analyte was analyzed for but not detected","2020-12-09",NA,NA,"0905CRY0289","probability"
"1274","2009cry0s41","PHOSPHORUS, TOTAL (AS P)","2020-08-31","7723-14-0","T",0.0077,"mg/l",0.0036,"mg/l",0.005,NA,"A","","2020-12-09",NA,NA,"0905CRY0289","probability"
"1275","2009cry0s41","SULFATE (AS SO4)","2020-08-31","14808-79-8","T",NA,"mg/l",0.4,"mg/l",2,"U","U","Analyte was analyzed for but not detected","2020-12-09",NA,NA,"0905CRY0289","probability"
"1276","2009cry0s41","TOTAL ORGANIC CARBON","2020-08-31","TOC","T",8.8,"mg/l",0.5,"mg/l",1,NA,"A","","2020-12-09",NA,NA,"0905CRY0289","probability"
"1277","2009cry0s42","ALKALINITY, TOTAL (AS CaCO3)","2020-08-31","ALK","T",NA,"mg/l",1.8,"mg/l",2,"U","U","Analyte was analyzed for but not detected","2020-12-09",NA,NA,"0905CRY0289","probability"
"1278","2009cry0s42","Arsenic","2020-08-31","7440-38-2","T",0.77,"ug/l",0.32,"ug/l",1,"J","J","estimated value due to lab error","2020-12-09",NA,NA,"0905CRY0289","probability"
"1279","2009cry0s42","Calcium","2020-08-31","7440-70-2","T",450,"ug/l",110,"ug/l",1000,"J","J","estimated value due to lab error","2020-12-09",NA,NA,"0905CRY0289","probability"
"1280","2009cry0s42","Carbon, Dissolved Organic (DOC)","2020-08-31","DOC","D",8,"mg/l",0.5,"mg/l",1,NA,"A","","2020-12-09",NA,NA,"0905CRY0289","probability"
"1281","2009cry0s42","CHLORIDE (AS CL)","2020-08-31","16887-00-6","T",NA,"mg/l",0.5,"mg/l",2,"U","U","Analyte was analyzed for but not detected","2020-12-09",NA,NA,"0905CRY0289","probability"
"1282","2009cry0s42","Color, True","2020-08-31","COLOR","T",7,"color unit",NA,"color unit",5,NA,"A","","2020-12-09",NA,NA,"0905CRY0289","probability"
"1283","2009cry0s42","HARDNESS (AS CACO3)","2020-08-31","HARD","T",NA,"mg/l",NA,"mg/l",6.62,"U","U","Analyte was analyzed for but not detected","2020-12-09",NA,NA,"0905CRY0289","probability"
"1284","2009cry0s42","Iron","2020-08-31","7439-89-6","T",69.6,"ug/l",20,"ug/l",100,"J","J","estimated value due to lab error","2020-12-09",NA,NA,"0905CRY0289","probability"
"1285","2009cry0s42","Manganese","2020-08-31","7439-96-5","T",17.7,"ug/l",1.7,"ug/l",10,NA,"A","","2020-12-09",NA,NA,"0905CRY0289","probability"
"1286","2009cry0s42","Nitrate+Nitrite as Nitrogen","2020-08-31","NO3NO2N","T",NA,"mg/l",0.0015,"mg/l",0.002,"U","U","Analyte was analyzed for but not detected","2020-12-09",NA,NA,"0905CRY0289","probability"
"1287","2009cry0s42","Nitrogen, ammonia (As N)","2020-08-31","7664-41-7","T",NA,"mg/l",0.003,"mg/l",0.01,"U","U","Analyte was analyzed for but not detected","2020-12-09",NA,NA,"0905CRY0289","probability"
"1288","2009cry0s42","NITROGEN, KJELDAHL, TOTAL","2020-08-31","KN","T",0.35,"mg/l",0.1,"mg/l",0.1,NA,"A","","2020-12-09",NA,NA,"0905CRY0289","probability"
"1289","2009cry0s42","pH of Color Analysis","2020-08-31","PHCOLOR","T",7.56,"pH units",NA,"pH units",NA,NA,"A","","2020-12-09",NA,NA,"0905CRY0289","probability"
"1290","2009cry0s42","PHOSPHORUS, DISSOLVED (AS P)","2020-08-31","7723-14-0","D",NA,"mg/l",0.0036,"mg/l",0.005,"U","U","Analyte was analyzed for but not detected","2020-12-09",NA,NA,"0905CRY0289","probability"
"1291","2009cry0s42","PHOSPHORUS, TOTAL (AS P)","2020-08-31","7723-14-0","T",0.0058,"mg/l",0.0036,"mg/l",0.005,NA,"A","","2020-12-09",NA,NA,"0905CRY0289","probability"
"1292","2009cry0s42","SULFATE (AS SO4)","2020-08-31","14808-79-8","T",NA,"mg/l",0.4,"mg/l",2,"U","U","Analyte was analyzed for but not detected","2020-12-09",NA,NA,"0905CRY0289","probability"
"1293","2009cry0s42","TOTAL ORGANIC CARBON","2020-08-31","TOC","T",8.3,"mg/l",0.5,"mg/l",1,NA,"A","","2020-12-09",NA,NA,"0905CRY0289","probability"
"1294","2009eag0s11","ALKALINITY, TOTAL (AS CaCO3)","2020-05-19","ALK","T",5.6,"mg/l",1.8,"mg/l",2,NA,"A","","2020-12-09",NA,NA,"0903EAG0306",NA
"1295","2009eag0s11","Arsenic","2020-05-19","7440-38-2","T",NA,"ug/l",0.32,"ug/l",1,"U","U","Analyte was analyzed for but not detected","2020-12-09",NA,NA,"0903EAG0306",NA
"1296","2009eag0s11","Calcium","2020-05-19","7440-70-2","T",3780,"ug/l",110,"ug/l",1000,NA,"A","","2020-12-09",NA,NA,"0903EAG0306",NA
"1297","2009eag0s11","Carbon, Dissolved Organic (DOC)","2020-05-19","DOC","D",3.5,"mg/l",0.5,"mg/l",1,NA,"A","","2020-12-09",NA,NA,"0903EAG0306",NA
"1298","2009eag0s11","CHLORIDE (AS CL)","2020-05-19","16887-00-6","T",24.8,"mg/l",0.5,"mg/l",2,NA,"A","","2020-12-09",NA,NA,"0903EAG0306",NA
"1299","2009eag0s11","Chlorophyll A","2020-05-19","479-61-8","T",0.45,"ug/l",NA,"ug/l",0.04,NA,"A","","2020-12-09",NA,NA,"0903EAG0306",NA
"1300","2009eag0s11","Color, True","2020-05-19","COLOR","T",10,"color unit",NA,"color unit",5,NA,"A","","2020-12-09",NA,NA,"0903EAG0306",NA
"1301","2009eag0s11","HARDNESS (AS CACO3)","2020-05-19","HARD","T",11.6,"mg/l",NA,"mg/l",6.62,NA,"A","","2020-12-09",NA,NA,"0903EAG0306",NA
"1302","2009eag0s11","Iron","2020-05-19","7439-89-6","T",34.4,"ug/l",20,"ug/l",100,"J","J","estimated value due to lab error","2020-12-09",NA,NA,"0903EAG0306",NA
"1303","2009eag0s11","Manganese","2020-05-19","7439-96-5","T",10.7,"ug/l",1.7,"ug/l",10,NA,"A","","2020-12-09",NA,NA,"0903EAG0306",NA
"1304","2009eag0s11","Nitrate+Nitrite as Nitrogen","2020-05-19","NO3NO2N","T",0.0473,"mg/l",0.0015,"mg/l",0.002,NA,"A","","2020-12-09",NA,NA,"0903EAG0306",NA
"1305","2009eag0s11","Nitrogen, ammonia (As N)","2020-05-19","7664-41-7","T",NA,"mg/l",0.003,"mg/l",0.01,"U","U","Analyte was analyzed for but not detected","2020-12-09",NA,NA,"0903EAG0306",NA
"1306","2009eag0s11","NITROGEN, KJELDAHL, TOTAL","2020-05-19","KN","T",0.24,"mg/l",0.1,"mg/l",0.1,NA,"A","","2020-12-09",NA,NA,"0903EAG0306",NA
"1307","2009eag0s11","NITROGEN, NITRATE (AS N)","2020-05-19","14797-55-8","T",NA,"mg/l",NA,"mg/l",0.05,"U","U","Analyte was analyzed for but not detected","2020-12-09",NA,NA,"0903EAG0306",NA
"1308","2009eag0s11","NITROGEN, NITRITE","2020-05-19","14797-65-0","T",NA,"mg/l",0.007,"mg/l",0.01,"U","U","Analyte was analyzed for but not detected","2020-12-09",NA,NA,"0903EAG0306",NA
"1309","2009eag0s11","pH of Color Analysis","2020-05-19","PHCOLOR","T",7.75,"pH units",NA,"pH units",NA,NA,"A","","2020-12-09",NA,NA,"0903EAG0306",NA
"1310","2009eag0s11","PHOSPHORUS, DISSOLVED (AS P)","2020-05-19","7723-14-0","D",NA,"mg/l",0.0036,"mg/l",0.005,"U","U","Analyte was analyzed for but not detected","2020-12-09",NA,NA,"0903EAG0306",NA
"1311","2009eag0s11","PHOSPHORUS, TOTAL (AS P)","2020-05-19","7723-14-0","T",NA,"mg/l",0.0036,"mg/l",0.005,"U","U","Analyte was analyzed for but not detected","2020-12-09",NA,NA,"0903EAG0306",NA
"1312","2009eag0s11","SULFATE (AS SO4)","2020-05-19","14808-79-8","T",2.1,"mg/l",0.4,"mg/l",2,NA,"A","","2020-12-09",NA,NA,"0903EAG0306",NA
"1313","2009eag0s11","TOTAL ORGANIC CARBON","2020-05-19","TOC","T",3.5,"mg/l",0.5,"mg/l",1,NA,"A","","2020-12-09",NA,NA,"0903EAG0306",NA
"1314","2009eag0s12","ALKALINITY, TOTAL (AS CaCO3)","2020-05-19","ALK","T",6.8,"mg/l",1.8,"mg/l",2,NA,"A","","2020-12-09",NA,NA,"0903EAG0306",NA
"1315","2009eag0s12","Arsenic","2020-05-19","7440-38-2","T",NA,"ug/l",0.32,"ug/l",1,"U","U","Analyte was analyzed for but not detected","2020-12-09",NA,NA,"0903EAG0306",NA
"1316","2009eag0s12","Calcium","2020-05-19","7440-70-2","T",3710,"ug/l",110,"ug/l",1000,NA,"A","","2020-12-09",NA,NA,"0903EAG0306",NA
"1317","2009eag0s12","Carbon, Dissolved Organic (DOC)","2020-05-19","DOC","D",3.3,"mg/l",0.5,"mg/l",1,NA,"A","","2020-12-09",NA,NA,"0903EAG0306",NA
"1318","2009eag0s12","CHLORIDE (AS CL)","2020-05-19","16887-00-6","T",24.8,"mg/l",0.5,"mg/l",2,NA,"A","","2020-12-09",NA,NA,"0903EAG0306",NA
"1319","2009eag0s12","Color, True","2020-05-19","COLOR","T",7,"color unit",NA,"color unit",5,NA,"A","","2020-12-09",NA,NA,"0903EAG0306",NA
"1320","2009eag0s12","HARDNESS (AS CACO3)","2020-05-19","HARD","T",11.4,"mg/l",NA,"mg/l",6.62,NA,"A","","2020-12-09",NA,NA,"0903EAG0306",NA
"1321","2009eag0s12","Iron","2020-05-19","7439-89-6","T",44.2,"ug/l",20,"ug/l",100,"J","J","estimated value due to lab error","2020-12-09",NA,NA,"0903EAG0306",NA
"1322","2009eag0s12","Manganese","2020-05-19","7439-96-5","T",9.7,"ug/l",1.7,"ug/l",10,"J","J","estimated value due to lab error","2020-12-09",NA,NA,"0903EAG0306",NA
"1323","2009eag0s12","Nitrate+Nitrite as Nitrogen","2020-05-19","NO3NO2N","T",0.0266,"mg/l",0.0015,"mg/l",0.002,NA,"A","","2020-12-09",NA,NA,"0903EAG0306",NA
"1324","2009eag0s12","Nitrogen, ammonia (As N)","2020-05-19","7664-41-7","T",NA,"mg/l",0.003,"mg/l",0.01,"U","U","Analyte was analyzed for but not detected","2020-12-09",NA,NA,"0903EAG0306",NA
"1325","2009eag0s12","NITROGEN, KJELDAHL, TOTAL","2020-05-19","KN","T",0.18,"mg/l",0.1,"mg/l",0.1,NA,"R","Equipment Blank error","2020-12-09",NA,NA,"0903EAG0306",NA
"1326","2009eag0s12","NITROGEN, NITRATE (AS N)","2020-05-19","14797-55-8","T",NA,"mg/l",NA,"mg/l",0.05,"U","U","Analyte was analyzed for but not detected","2020-12-09",NA,NA,"0903EAG0306",NA
"1327","2009eag0s12","NITROGEN, NITRITE","2020-05-19","14797-65-0","T",NA,"mg/l",0.007,"mg/l",0.01,"U","U","Analyte was analyzed for but not detected","2020-12-09",NA,NA,"0903EAG0306",NA
"1328","2009eag0s12","pH of Color Analysis","2020-05-19","PHCOLOR","T",7.53,"pH units",NA,"pH units",NA,NA,"A","","2020-12-09",NA,NA,"0903EAG0306",NA
"1329","2009eag0s12","PHOSPHORUS, DISSOLVED (AS P)","2020-05-19","7723-14-0","D",NA,"mg/l",0.0036,"mg/l",0.005,"U","U","Analyte was analyzed for but not detected","2020-12-09",NA,NA,"0903EAG0306",NA
"1330","2009eag0s12","PHOSPHORUS, TOTAL (AS P)","2020-05-19","7723-14-0","T",NA,"mg/l",0.0036,"mg/l",0.005,"U","R","Analyte was analyzed for but not detected ; Accuracy error","2020-12-09",NA,NA,"0903EAG0306",NA
"1331","2009eag0s12","SULFATE (AS SO4)","2020-05-19","14808-79-8","T",NA,"mg/l",0.4,"mg/l",2,"U","U","Analyte was analyzed for but not detected","2020-12-09",NA,NA,"0903EAG0306",NA
"1332","2009eag0s12","TOTAL ORGANIC CARBON","2020-05-19","TOC","T",3.7,"mg/l",0.5,"mg/l",1,NA,"A","","2020-12-09",NA,NA,"0903EAG0306",NA
"1333","2009eag0s21","ALKALINITY, TOTAL (AS CaCO3)","2020-07-01","ALK","T",8.4,"mg/l",1.8,"mg/l",2,NA,"A","","2020-12-09",NA,NA,"0903EAG0306",NA
