"within_period","use","type","parameter","fraction","units","n_samples_collected","n_years_sampled","n_exceedances","n_years_w_exceedances","n_no_result_value_provided","n_threshold_data_absent","notes","LAKE_ID"
TRUE,"fishing","aquatic_chronic","ammonia","total","ug/l",2,1,0,0,0,2,"none","1201klo0708"
TRUE,"fishing","aquatic_chronic","chlorophyll_a","total","ug/l",1,1,0,0,0,0,"none","1201klo0708"
TRUE,"fishing","aquatic_chronic","phosphorus","total","ug/l",2,1,0,0,0,0,"none","1201klo0708"
TRUE,"fishing","none","dissolved_oxygen","dissolved","mg/l",1,1,1,1,0,0,"n_exceedances may not be intiutive for this parameter because there are multiple components to the WQS. n_exceedances may be greater than n_samples_collected if a single sample was marked as an exceedance for multiple components of the WQS.","1201klo0708"
TRUE,"fishing","none","ph","total","ph_units",1,1,1,1,0,0,"none","1201klo0708"
TRUE,"fishing","aquatic_chronic","ammonia","total","ug/l",2,1,0,0,0,2,"none","1201spe0760"
TRUE,"fishing","aquatic_chronic","chlorophyll_a","total","ug/l",1,1,0,0,0,0,"none","1201spe0760"
TRUE,"fishing","aquatic_chronic","phosphorus","total","ug/l",2,1,0,0,0,0,"none","1201spe0760"
TRUE,"fishing","none","dissolved_oxygen","dissolved","mg/l",1,1,0,0,0,0,"n_exceedances may not be intiutive for this parameter because there are multiple components to the WQS. n_exceedances may be greater than n_samples_collected if a single sample was marked as an exceedance for multiple components of the WQS.","1201spe0760"
TRUE,"fishing","none","ph","total","ph_units",1,1,0,0,0,0,"none","1201spe0760"
TRUE,"fishing","aquatic_chronic","chlorophyll_a","total","ug/l",1,1,1,1,0,0,"none","1202eng0589"
TRUE,"fishing","aquatic_chronic","phosphorus","total","ug/l",1,1,1,1,0,0,"none","1202eng0589"
TRUE,"fishing","none","dissolved_oxygen","dissolved","mg/l",1,1,0,0,0,0,"n_exceedances may not be intiutive for this parameter because there are multiple components to the WQS. n_exceedances may be greater than n_samples_collected if a single sample was marked as an exceedance for multiple components of the WQS.","1202eng0589"
TRUE,"fishing","none","ph","total","ph_units",1,1,0,0,0,0,"none","1202eng0589"
TRUE,"fishing","aquatic_chronic","ammonia","total","ug/l",1,1,0,0,0,1,"none","1203met0821"
TRUE,"fishing","aquatic_chronic","phosphorus","total","ug/l",2,1,0,0,0,0,"none","1203met0821"
TRUE,"fishing","none","dissolved_oxygen","dissolved","mg/l",1,1,0,0,0,0,"n_exceedances may not be intiutive for this parameter because there are multiple components to the WQS. n_exceedances may be greater than n_samples_collected if a single sample was marked as an exceedance for multiple components of the WQS.","1203met0821"
TRUE,"fishing","none","ph","total","ph_units",1,1,1,1,0,0,"none","1203met0821"
TRUE,"fishing","aquatic_chronic","ammonia","total","ug/l",2,1,0,0,0,2,"none","1203gla0859"
TRUE,"fishing","aquatic_chronic","chlorophyll_a","total","ug/l",1,1,0,0,0,0,"none","1203gla0859"
TRUE,"fishing","aquatic_chronic","phosphorus","total","ug/l",2,1,0,0,0,0,"none","1203gla0859"
TRUE,"fishing","none","dissolved_oxygen","dissolved","mg/l",1,1,0,0,0,0,"n_exceedances may not be intiutive for this parameter because there are multiple components to the WQS. n_exceedances may be greater than n_samples_collected if a single sample was marked as an exceedance for multiple components of the WQS.","1203gla0859"
TRUE,"fishing","none","ph","total","ph_units",1,1,1,1,0,0,"none","1203gla0859"
TRUE,"fishing","aquatic_chronic","ammonia","total","ug/l",1,1,0,0,0,1,"none","1203dee0911"
TRUE,"fishing","aquatic_chronic","chlorophyll_a","total","ug/l",1,1,0,0,0,0,"none","1203dee0911"
TRUE,"fishing","aquatic_chronic","nitrite","total","ug/l",1,1,0,0,0,0,"none","1203dee0911"
TRUE,"fishing","aquatic_chronic","phosphorus","total","ug/l",1,1,0,0,0,0,"none","1203dee0911"
TRUE,"fishing","none","dissolved_oxygen","dissolved","mg/l",1,1,0,0,0,0,"n_exceedances may not be intiutive for this parameter because there are multiple components to the WQS. n_exceedances may be greater than n_samples_collected if a single sample was marked as an exceedance for multiple components of the WQS.","1203dee0911"
TRUE,"fishing","none","ph","total","ph_units",1,1,0,0,0,0,"none","1203dee0911"
TRUE,"fishing","none","dissolved_oxygen","dissolved","mg/l",1,1,0,0,0,0,"n_exceedances may not be intiutive for this parameter because there are multiple components to the WQS. n_exceedances may be greater than n_samples_collected if a single sample was marked as an exceedance for multiple components of the WQS.","1301can0168a"
TRUE,"fishing","none","ph","total","ph_units",1,1,0,0,0,0,"none","1301can0168a"
TRUE,"fishing","aquatic_chronic","chlorophyll_a","total","ug/l",1,1,0,0,0,0,"none","1301wic0183a"
TRUE,"fishing","aquatic_chronic","nitrite","total","ug/l",2,1,0,0,0,0,"none","1301wic0183a"
TRUE,"fishing","aquatic_chronic","phosphorus","total","ug/l",2,1,0,0,0,0,"none","1301wic0183a"
TRUE,"fishing","none","dissolved_oxygen","dissolved","mg/l",1,1,0,0,0,0,"n_exceedances may not be intiutive for this parameter because there are multiple components to the WQS. n_exceedances may be greater than n_samples_collected if a single sample was marked as an exceedance for multiple components of the WQS.","1301wic0183a"
TRUE,"fishing","none","ph","total","ph_units",1,1,0,0,0,0,"none","1301wic0183a"
TRUE,"fishing","aquatic_chronic","ammonia","total","ug/l",1,1,0,0,0,1,"none","1302car0062a"
TRUE,"fishing","aquatic_chronic","chlorophyll_a","total","ug/l",1,1,1,1,0,0,"none","1302car0062a"
TRUE,"fishing","aquatic_chronic","phosphorus","total","ug/l",1,1,1,1,0,0,"none","1302car0062a"
TRUE,"fishing","none","dissolved_oxygen","dissolved","mg/l",1,1,0,0,0,0,"n_exceedances may not be intiutive for this parameter because there are multiple components to the WQS. n_exceedances may be greater than n_samples_collected if a single sample was marked as an exceedance for multiple components of the WQS.","1302car0062a"
TRUE,"fishing","aquatic_chronic","chlorophyll_a","total","ug/l",1,1,0,0,0,0,"none","1303ora0239d"
TRUE,"fishing","aquatic_chronic","nitrite","total","ug/l",1,1,0,0,0,0,"none","1303ora0239d"
TRUE,"fishing","aquatic_chronic","phosphorus","total","ug/l",1,1,1,1,0,0,"none","1303ora0239d"
TRUE,"fishing","none","dissolved_oxygen","dissolved","mg/l",1,1,1,1,0,0,"n_exceedances may not be intiutive for this parameter because there are multiple components to the WQS. n_exceedances may be greater than n_samples_collected if a single sample was marked as an exceedance for multiple components of the WQS.","1303ora0239d"
TRUE,"fishing","none","ph","total","ph_units",1,1,0,0,0,0,"none","1303ora0239d"
TRUE,"fishing","aquatic_chronic","ammonia","total","ug/l",1,1,0,0,0,1,"none","1305sil0378"
TRUE,"fishing","aquatic_chronic","chlorophyll_a","total","ug/l",1,1,0,0,0,0,"none","1305sil0378"
TRUE,"fishing","aquatic_chronic","phosphorus","total","ug/l",2,1,0,0,0,0,"none","1305sil0378"
TRUE,"fishing","none","dissolved_oxygen","dissolved","mg/l",1,1,1,1,0,0,"n_exceedances may not be intiutive for this parameter because there are multiple components to the WQS. n_exceedances may be greater than n_samples_collected if a single sample was marked as an exceedance for multiple components of the WQS.","1305sil0378"
TRUE,"fishing","none","ph","total","ph_units",1,1,0,0,0,0,"none","1305sil0378"
TRUE,"fishing","aquatic_chronic","ammonia","total","ug/l",1,1,0,0,0,1,"none","1310bla0n80b"
TRUE,"fishing","aquatic_chronic","chlorophyll_a","total","ug/l",1,1,0,0,0,0,"none","1310bla0n80b"
TRUE,"fishing","aquatic_chronic","phosphorus","total","ug/l",2,1,0,0,0,0,"none","1310bla0n80b"
TRUE,"fishing","none","dissolved_oxygen","dissolved","mg/l",1,1,1,1,0,0,"n_exceedances may not be intiutive for this parameter because there are multiple components to the WQS. n_exceedances may be greater than n_samples_collected if a single sample was marked as an exceedance for multiple components of the WQS.","1310bla0n80b"
TRUE,"fishing","none","ph","total","ph_units",1,1,1,1,0,0,"none","1310bla0n80b"
TRUE,"fishing","none","dissolved_oxygen","dissolved","mg/l",1,1,1,1,0,0,"n_exceedances may not be intiutive for this parameter because there are multiple components to the WQS. n_exceedances may be greater than n_samples_collected if a single sample was marked as an exceedance for multiple components of the WQS.","1401rio0079a"
TRUE,"fishing","none","ph","total","ph_units",1,1,0,0,0,0,"none","1401rio0079a"
TRUE,"fishing","aquatic_chronic","chlorophyll_a","total","ug/l",1,1,1,1,0,0,"none","1401swa0211"
TRUE,"fishing","aquatic_chronic","phosphorus","total","ug/l",1,1,1,1,0,0,"none","1401swa0211"
TRUE,"fishing","none","dissolved_oxygen","dissolved","mg/l",1,1,0,0,0,0,"n_exceedances may not be intiutive for this parameter because there are multiple components to the WQS. n_exceedances may be greater than n_samples_collected if a single sample was marked as an exceedance for multiple components of the WQS.","1401swa0211"
TRUE,"fishing","none","ph","total","ph_units",1,1,0,0,0,0,"none","1401swa0211"
TRUE,"fishing","aquatic_chronic","ammonia","total","ug/l",1,1,0,0,0,1,"none","1404rus0410"
TRUE,"fishing","aquatic_chronic","chlorophyll_a","total","ug/l",1,1,0,0,0,0,"none","1404rus0410"
TRUE,"fishing","aquatic_chronic","phosphorus","total","ug/l",1,1,0,0,0,0,"none","1404rus0410"
TRUE,"fishing","none","dissolved_oxygen","dissolved","mg/l",1,1,0,0,0,0,"n_exceedances may not be intiutive for this parameter because there are multiple components to the WQS. n_exceedances may be greater than n_samples_collected if a single sample was marked as an exceedance for multiple components of the WQS.","1404rus0410"
TRUE,"fishing","none","ph","total","ph_units",1,1,0,0,0,0,"none","1404rus0410"
TRUE,"fishing","none","dissolved_oxygen","dissolved","mg/l",1,1,1,1,0,0,"n_exceedances may not be intiutive for this parameter because there are multiple components to the WQS. n_exceedances may be greater than n_samples_collected if a single sample was marked as an exceedance for multiple components of the WQS.","1501gre1026"
TRUE,"fishing","none","ph","total","ph_units",1,1,0,0,0,0,"none","1501gre1026"
TRUE,"fishing","none","dissolved_oxygen","dissolved","mg/l",1,1,1,1,0,0,"n_exceedances may not be intiutive for this parameter because there are multiple components to the WQS. n_exceedances may be greater than n_samples_collected if a single sample was marked as an exceedance for multiple components of the WQS.","1301cro1033"
TRUE,"fishing","none","ph","total","ph_units",1,1,0,0,0,0,"none","1301cro1033"
TRUE,"fishing","aquatic_chronic","ammonia","total","ug/l",1,1,0,0,0,1,"none","1702new0292"
TRUE,"fishing","aquatic_chronic","chlorophyll_a","total","ug/l",1,1,0,0,0,0,"none","1702new0292"
TRUE,"fishing","aquatic_chronic","phosphorus","total","ug/l",1,1,1,1,0,0,"none","1702new0292"
TRUE,"fishing","none","dissolved_oxygen","dissolved","mg/l",1,1,0,0,0,0,"n_exceedances may not be intiutive for this parameter because there are multiple components to the WQS. n_exceedances may be greater than n_samples_collected if a single sample was marked as an exceedance for multiple components of the WQS.","1702new0292"
TRUE,"fishing","none","ph","total","ph_units",1,1,0,0,0,0,"none","1702new0292"
